"","Algorithm","Language","GPT","avg_cpu_mean","avg_cpu_sd","avg_cpu_cv","avg_cpu_range"
"1","binarytrees","java","False",81.7191,1.49978,0.01835,6.822
"2","binarytrees","java","True",40.4839,0.99608,0.0246,3.767
"3","fasta","c","False",9.88333,6.8406,0.69214,32.3
"4","fasta","c","True",10.21,7.35833,0.7207,29.9
"5","fasta","cpp","False",7.61667,1.26056,0.1655,5.8
"6","fasta","cpp","True",27.00077,2.35026,0.08704,9.317
"7","fasta","java","False",34.87,9.46092,0.27132,61.6
"8","fasta","java","True",32.89,2.91457,0.08862,20.9
"9","fasta","js","False",17.21953,1.57296,0.09135,6.84
"10","fasta","js","True",33.13667,1.05878,0.03195,5
"11","fasta","py","False",48.586,1.24712,0.02567,4.411
"12","fasta","py","True",31.45477,1.85401,0.05894,5.823
"13","knucleotide","c","False",11.14,8.50301,0.76329,31.5
"14","knucleotide","c","True",8.11333,1.26647,0.1561,5.6
"15","knucleotide","cpp","False",15.97667,5.97776,0.37416,28.4
"16","knucleotide","cpp","True",11.06,4.76949,0.43124,27.2
"17","knucleotide","js","False",32.585,2.01773,0.06192,11.8
"18","knucleotide","js","True",32.88,0.53071,0.01614,2.3
"19","knucleotide","py","False",28.43,6.05268,0.2129,20.05
"20","knucleotide","py","True",33.10667,0.92659,0.02799,5.1
"21","nbody","c","False",32.61807,1.90097,0.05828,10.739
"22","nbody","c","True",10.75,8.26103,0.76847,31.1
"23","pidigits","c","False",8.43,1.62654,0.19295,7.1
"24","pidigits","c","True",8.84333,4.17824,0.47247,20.8
"25","pidigits","cpp","False",8.64333,1.87482,0.21691,8.1
"26","pidigits","cpp","True",10.19,7.26794,0.71324,29.7
"27","pidigits","js","False",32.99667,0.80279,0.02433,4.1
"28","pidigits","js","True",32.93667,1.04995,0.03188,5.8
"29","pidigits","py","False",33.29333,1.4955,0.04492,6.7
"30","pidigits","py","True",32.95,1.02881,0.03122,5.4
"31","regexredux","cpp","False",9.14,2.23199,0.2442,9.7
"32","regexredux","cpp","True",14.38,4.12489,0.28685,24.5
"33","regexredux","java","False",33.36833,5.28646,0.15843,33.25
"34","regexredux","java","True",33.76,4.89141,0.14489,28.1
"35","regexredux","js","False",33.07333,0.79997,0.02419,4.3
"36","regexredux","js","True",33.42,1.24219,0.03717,5.1
"37","regexredux","py","False",30.35,4.2898,0.14134,17.85
"38","regexredux","py","True",32.91667,0.99207,0.03014,5.7
"39","revcomp","cpp","False",9.86333,5.62025,0.56981,31.9
"40","revcomp","cpp","True",9.63,6.84811,0.71112,29.5
"41","revcomp","java","False",33.16667,1.16924,0.03525,5.1
"42","revcomp","java","True",32.27667,4.84616,0.15014,31.2
"43","revcomp","js","False",32.98,0.684,0.02074,3.1
"44","revcomp","js","True",33.00667,0.99306,0.03009,5.4
"45","revcomp","py","False",32.85667,0.64897,0.01975,3.1
"46","revcomp","py","True",33.01667,0.88438,0.02679,4.5
"47","spectralnorm","c","False",31.90833,0.55821,0.01749,2.365
"48","spectralnorm","c","True",8.83333,5.41558,0.61308,30.9
"49","spectralnorm","java","False",32.43333,2.81478,0.08679,18.6
"50","spectralnorm","java","True",32.94667,2.42938,0.07374,14.9
