"","Algorithm","Language","GPT","total_energy.J._mean","total_energy.J._sd","total_energy.J._cv","total_energy.J._range"
"1","binarytrees","java","False",196.45163,5.95423,0.03031,41.82258
"2","binarytrees","java","True",300.50963,8.51902,0.02835,48.43962
"3","fasta","c","False",9.51917,0.57107,0.05999,2.05569
"4","fasta","c","True",8.95425,0.66809,0.07461,2.47196
"5","fasta","cpp","False",8.87716,0.42657,0.04805,1.32217
"6","fasta","cpp","True",46.00055,2.92065,0.06349,12.54975
"7","fasta","java","False",10.06812,0.57445,0.05706,2.51786
"8","fasta","java","True",9.7266,0.4616,0.04746,1.60633
"9","fasta","js","False",37.61937,2.55439,0.0679,12.41047
"10","fasta","js","True",9.03799,0.55277,0.06116,1.91433
"11","fasta","py","False",61.42095,0.66818,0.01088,2.38399
"12","fasta","py","True",34.73157,2.25145,0.06482,6.83839
"13","knucleotide","c","False",8.66511,0.47518,0.05484,1.64763
"14","knucleotide","c","True",8.54448,0.52824,0.06182,1.77226
"15","knucleotide","cpp","False",8.45279,0.46572,0.0551,1.41574
"16","knucleotide","cpp","True",8.53102,0.44496,0.05216,1.22704
"17","knucleotide","js","False",9.65251,1.1858,0.12285,5.13473
"18","knucleotide","js","True",9.20177,0.5146,0.05592,1.65498
"19","knucleotide","py","False",13.36569,2.19974,0.16458,8.01413
"20","knucleotide","py","True",8.98569,0.52601,0.05854,1.65181
"21","nbody","c","False",166.22198,5.58222,0.03358,23.1701
"22","nbody","c","True",8.91854,0.57616,0.0646,1.98505
"23","pidigits","c","False",8.71735,0.47013,0.05393,1.70236
"24","pidigits","c","True",8.60215,0.48557,0.05645,1.76485
"25","pidigits","cpp","False",8.54934,0.51496,0.06023,1.6965
"26","pidigits","cpp","True",8.59032,0.49776,0.05794,1.39666
"27","pidigits","js","False",8.81773,0.52468,0.0595,1.87851
"28","pidigits","js","True",8.90715,0.45881,0.05151,1.62068
"29","pidigits","py","False",8.99258,0.42562,0.04733,1.39852
"30","pidigits","py","True",8.97997,0.53116,0.05915,2.04262
"31","regexredux","cpp","False",8.62521,0.5551,0.06436,1.89045
"32","regexredux","cpp","True",8.59767,0.53553,0.06229,1.57617
"33","regexredux","java","False",9.61442,1.64121,0.1707,7.23868
"34","regexredux","java","True",8.8338,0.43408,0.04914,1.4687
"35","regexredux","js","False",8.92462,0.55084,0.06172,1.88103
"36","regexredux","js","True",8.99312,0.50888,0.05659,1.75895
"37","regexredux","py","False",12.82354,2.10947,0.1645,6.05765
"38","regexredux","py","True",9.2021,0.53337,0.05796,1.99387
"39","revcomp","cpp","False",8.58163,0.43183,0.05032,1.59036
"40","revcomp","cpp","True",8.46459,0.34638,0.04092,1.70246
"41","revcomp","java","False",8.62657,0.39311,0.04557,1.66871
"42","revcomp","java","True",8.69111,0.46812,0.05386,1.70596
"43","revcomp","js","False",8.75232,0.4314,0.04929,1.44392
"44","revcomp","js","True",8.70778,0.42222,0.04849,1.57528
"45","revcomp","py","False",8.8197,0.46743,0.053,1.68722
"46","revcomp","py","True",8.94399,0.53393,0.0597,1.65037
"47","spectralnorm","c","False",94.21851,2.83053,0.03004,10.71981
"48","spectralnorm","c","True",8.57873,0.40586,0.04731,1.38286
"49","spectralnorm","java","False",8.72978,0.40789,0.04672,1.58511
"50","spectralnorm","java","True",8.68534,0.3495,0.04024,1.35313
