"","Algorithm","Language","GPT","avg_mem_mean","avg_mem_sd","avg_mem_cv","avg_mem_range"
"1","binarytrees","java","False",11.02677,0.19977,0.01812,0.793
"2","binarytrees","java","True",7.49907,0.0428,0.00571,0.204
"3","fasta","c","False",3.6169,0.03545,0.0098,0.202
"4","fasta","c","True",3.61463,0.00339,0.00094,0.013
"5","fasta","cpp","False",3.60413,0.00301,0.00084,0.012
"6","fasta","cpp","True",3.62097,0.00561,0.00155,0.026
"7","fasta","java","False",3.68703,0.03708,0.01006,0.192
"8","fasta","java","True",3.68293,0.027,0.00733,0.103
"9","fasta","js","False",3.68407,0.00983,0.00267,0.037
"10","fasta","js","True",3.66313,0.014,0.00382,0.096
"11","fasta","py","False",4.0412,0.03779,0.00935,0.131
"12","fasta","py","True",3.69537,0.01161,0.00314,0.034
"13","knucleotide","c","False",3.6194,0.0043,0.00119,0.017
"14","knucleotide","c","True",3.61913,0.00365,0.00101,0.014
"15","knucleotide","cpp","False",3.6176,0.00556,0.00154,0.025
"16","knucleotide","cpp","True",3.6195,0.0035,0.00097,0.012
"17","knucleotide","js","False",3.676,0.01428,0.00388,0.065
"18","knucleotide","js","True",3.68087,0.00637,0.00173,0.038
"19","knucleotide","py","False",3.66227,0.01797,0.00491,0.06
"20","knucleotide","py","True",3.6748,0.02619,0.00713,0.15
"21","nbody","c","False",3.5063,0.02224,0.00634,0.128
"22","nbody","c","True",3.50727,0.00261,0.00074,0.013
"23","pidigits","c","False",3.6257,0.00423,0.00117,0.016
"24","pidigits","c","True",3.62657,0.00338,0.00093,0.016
"25","pidigits","cpp","False",3.62503,0.00422,0.00116,0.017
"26","pidigits","cpp","True",3.62657,0.00455,0.00126,0.025
"27","pidigits","js","False",3.68547,0.02849,0.00773,0.201
"28","pidigits","js","True",3.68253,0.01404,0.00381,0.092
"29","pidigits","py","False",3.6699,0.01434,0.00391,0.063
"30","pidigits","py","True",3.6773,0.00911,0.00248,0.039
"31","regexredux","cpp","False",3.6326,0.00381,0.00105,0.015
"32","regexredux","cpp","True",3.63377,0.00354,0.00097,0.017
"33","regexredux","java","False",3.71513,0.02727,0.00734,0.145
"34","regexredux","java","True",3.71313,0.01848,0.00498,0.103
"35","regexredux","js","False",3.69323,0.03056,0.00828,0.184
"36","regexredux","js","True",3.69287,0.01661,0.0045,0.076
"37","regexredux","py","False",3.67727,0.01793,0.00488,0.063
"38","regexredux","py","True",3.68187,0.01638,0.00445,0.082
"39","revcomp","cpp","False",3.63927,0.00465,0.00128,0.021
"40","revcomp","cpp","True",3.63903,0.00367,0.00101,0.016
"41","revcomp","java","False",3.711,0.03085,0.00831,0.105
"42","revcomp","java","True",3.7149,0.02854,0.00768,0.112
"43","revcomp","js","False",3.70363,0.00501,0.00135,0.022
"44","revcomp","js","True",3.7016,0.00526,0.00142,0.019
"45","revcomp","py","False",3.69057,0.00878,0.00238,0.043
"46","revcomp","py","True",3.69147,0.01426,0.00386,0.079
"47","spectralnorm","c","False",3.64273,0.00333,0.00091,0.013
"48","spectralnorm","c","True",3.64567,0.00329,9e-04,0.014
"49","spectralnorm","java","False",3.7231,0.0167,0.00449,0.091
"50","spectralnorm","java","True",3.71783,0.02712,0.0073,0.11
