__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,run_time(s),total_energy(J),monsoon_run_time(s),average_power(W)
run_0,DONE,fasta,py,False,1,47.567,4.049,0,15.25279832,61.408481,15.26456404,4.022943651
run_1,DONE,fasta,py,False,2,48.744,3.994,0,15.037287,60.670432000000005,15.03254223,4.035939549
run_2,DONE,fasta,py,False,3,46.956,4.044,0,15.24300313,61.605099,15.23800182,4.042859379
run_3,DONE,fasta,py,False,4,48.722,4.042,0,15.37856269,62.57558,15.36280775,4.073186442
run_4,DONE,fasta,py,False,5,47.422,3.996,0,15.18787885,60.748103,15.19415712,3.998122619
run_5,DONE,fasta,py,False,6,49.111,4.028,0,14.84197617,60.405426999999996,14.84433889,4.0692568
run_6,DONE,fasta,py,False,7,50.467,4.089,0,15.06806707,60.720682,15.07814002,4.027067112
run_7,DONE,fasta,py,False,8,50.356,4.019,0,14.96874404,60.718115000000004,14.96153235,4.058281838
run_8,DONE,fasta,py,False,9,46.511,4.002,0,15.15956187,62.789421999999995,15.14925885,4.144719064
run_9,DONE,fasta,py,False,10,50.0,4.017,0,14.95199513,61.168957000000006,14.9462173,4.092604573
run_10,DONE,fasta,py,False,11,46.778,4.016,0,15.04720807,60.853928,15.02870083,4.049180869
run_11,DONE,fasta,py,False,12,48.356,4.001,0,15.15256929,61.570171,15.16890645,4.058972319
run_12,DONE,fasta,py,False,13,49.189,4.018,0,15.31249905,62.092839,15.32108736,4.05276971
run_13,DONE,fasta,py,False,14,49.967,4.028,0,15.168854,61.244372999999996,15.14802647,4.043059551
run_14,DONE,fasta,py,False,15,49.089,4.052,0,15.09906721,61.274226,15.1015861,4.05746956
run_15,DONE,fasta,py,False,16,49.1,4.085,0,15.11216187,62.044592,15.12363386,4.102492303
run_16,DONE,fasta,py,False,17,47.878,4.077,0,15.32801008,61.381054,15.33359265,4.003044525
run_17,DONE,fasta,py,False,18,48.878,4.125,0,15.11719513,61.113109,15.11058331,4.04439111
