"","Algorithm","Language","GPT","average_power.W._mean","average_power.W._sd","average_power.W._cv","average_power.W._range"
"1","binarytrees","java","False",4.3721,0.02368,0.00542,0.10057
"2","binarytrees","java","True",3.96709,0.01109,0.00279,0.05187
"3","fasta","c","False",3.81798,0.20669,0.05414,1.03161
"4","fasta","c","True",3.59235,0.07208,0.02007,0.31308
"5","fasta","cpp","False",3.57397,0.06699,0.01874,0.25469
"6","fasta","cpp","True",3.78445,0.09143,0.02416,0.34885
"7","fasta","java","False",3.8604,0.05943,0.0154,0.21571
"8","fasta","java","True",3.81028,0.05163,0.01355,0.2397
"9","fasta","js","False",3.60947,0.10689,0.02961,0.47587
"10","fasta","js","True",3.65391,0.07829,0.02143,0.31285
"11","fasta","py","False",4.06216,0.03298,0.00812,0.1466
"12","fasta","py","True",3.84555,0.0455,0.01183,0.18278
"13","knucleotide","c","False",3.58693,0.05807,0.01619,0.23065
"14","knucleotide","c","True",3.59496,0.05507,0.01532,0.21523
"15","knucleotide","cpp","False",3.62523,0.06051,0.01669,0.2498
"16","knucleotide","cpp","True",3.59042,0.06988,0.01946,0.23032
"17","knucleotide","js","False",3.84207,0.07611,0.01981,0.25754
"18","knucleotide","js","True",3.68336,0.06033,0.01638,0.20343
"19","knucleotide","py","False",3.70797,0.11598,0.03128,0.35217
"20","knucleotide","py","True",3.69676,0.07613,0.02059,0.27987
"21","nbody","c","False",3.65202,0.10602,0.02903,0.41221
"22","nbody","c","True",3.56119,0.07651,0.02148,0.28895
"23","pidigits","c","False",3.58404,0.06793,0.01895,0.26633
"24","pidigits","c","True",3.60509,0.05607,0.01555,0.2283
"25","pidigits","cpp","False",3.60514,0.0595,0.0165,0.23775
"26","pidigits","cpp","True",3.59687,0.05824,0.01619,0.2584
"27","pidigits","js","False",3.66542,0.05584,0.01524,0.20516
"28","pidigits","js","True",3.6678,0.07102,0.01936,0.23463
"29","pidigits","py","False",3.69422,0.07115,0.01926,0.25772
"30","pidigits","py","True",3.71075,0.07302,0.01968,0.32302
"31","regexredux","cpp","False",3.61789,0.06523,0.01803,0.21021
"32","regexredux","cpp","True",3.62595,0.07343,0.02025,0.28497
"33","regexredux","java","False",3.79073,0.07223,0.01906,0.27433
"34","regexredux","java","True",3.70152,0.05624,0.01519,0.21325
"35","regexredux","js","False",3.67196,0.05081,0.01384,0.18406
"36","regexredux","js","True",3.67997,0.05999,0.0163,0.24286
"37","regexredux","py","False",3.73758,0.11646,0.03116,0.42603
"38","regexredux","py","True",3.68794,0.07358,0.01995,0.29192
"39","revcomp","cpp","False",3.61332,0.06788,0.01879,0.2839
"40","revcomp","cpp","True",3.62943,0.05323,0.01467,0.21001
"41","revcomp","java","False",3.64297,0.04841,0.01329,0.17337
"42","revcomp","java","True",3.6767,0.05309,0.01444,0.23381
"43","revcomp","js","False",3.68225,0.05712,0.01551,0.22814
"44","revcomp","js","True",3.70189,0.0633,0.0171,0.23247
"45","revcomp","py","False",3.6996,0.06334,0.01712,0.28334
"46","revcomp","py","True",3.69491,0.06565,0.01777,0.22195
"47","spectralnorm","c","False",3.71657,0.03163,0.00851,0.1169
"48","spectralnorm","c","True",3.6077,0.06926,0.0192,0.25081
"49","spectralnorm","java","False",3.69277,0.07035,0.01905,0.29953
"50","spectralnorm","java","True",3.69619,0.06105,0.01652,0.25942
