Algorithm,Language,GPT,avg_cpu_mean,avg_cpu_sd,avg_cpu_cv,avg_cpu_range,avg_mem_mean,avg_mem_sd,avg_mem_cv,avg_mem_range,run_time.s._mean,run_time.s._sd,run_time.s._cv,run_time.s._range,total_energy.J._mean,total_energy.J._sd,total_energy.J._cv,total_energy.J._range,average_power.W._mean,average_power.W._sd,average_power.W._cv,average_power.W._range
binarytrees,java,False,81.7191,1.4997801298627191,0.01835287135887105,6.822000000000003,11.026766666666667,0.19977153905422054,0.018116964391576305,0.793000000000001,44.933891416,1.3348009318763854,0.02970588323897296,9.373107910000002,196.45162696666668,5.95422715957112,0.030308871713143996,41.82257899999999,4.372104382733333,0.023684443687518306,0.005417172513322147,0.1005741880000004
binarytrees,java,True,40.4839,0.9960760028473113,0.024604250154933477,3.767000000000003,7.499066666666667,0.04279778703055378,0.005707081818700164,0.20399999999999974,75.75295544433334,2.285613905608808,0.03017194368460488,12.91120934,300.5096322,8.519021201452704,0.028348579508369928,48.43962200000004,3.9670899141666665,0.01108523614712117,0.002794299193354621,0.051866812000000095
fasta,c,False,9.883333333333333,6.840603085599444,0.6921352194535694,32.300000000000004,3.6169000000000002,0.035445295393285135,0.009799910252781424,0.20199999999999996,2.508744216,0.17474970713772317,0.06965624714676898,0.521633864,9.519173666666667,0.5710749502222999,0.059992071814178115,2.055689000000001,3.817978187,0.20668687955292508,0.05413516511348394,1.0316098670000002
fasta,c,True,10.21,7.358333300790148,0.7206986582556462,29.9,3.6146333333333334,0.003388452330401365,9.374262941565391e-4,0.0129999999999999,2.4985260328,0.2169231956987042,0.08682046648743814,0.8063139920000002,8.9542549,0.6680871754970382,0.07461114106736431,2.471958,3.5923492660666665,0.07208081018067063,0.02006508967865291,0.3130769550000001
fasta,cpp,False,7.616666666666666,1.2605645515029156,0.1655008163898795,5.800000000000001,3.6041333333333334,0.0030141429082351755,8.363017206823209e-4,0.01200000000000001,2.4893191973666666,0.14831567669374465,0.05958081906516481,0.4887299540000001,8.877156733333333,0.4265708199899427,0.04805264036717838,1.3221740000000004,3.573970769233333,0.06698920558540028,0.01874363555574642,0.2546903130000002
fasta,cpp,True,27.000766666666667,2.350264118442176,0.08704434757193967,9.317,3.620966666666667,0.005610847457862494,0.0015495440787991679,0.0259999999999998,12.147179977,0.6095889665934795,0.05018357904861061,2.896583790000001,46.000546433333334,2.9206450017216574,0.06349152843117692,12.549752000000005,3.7844520760333333,0.09143000249939727,0.024159376486339198,0.348848528
fasta,java,False,34.87,9.460923261792015,0.2713198526467455,61.6,3.6870333333333334,0.03708376662539064,0.010057887540676056,0.19200000000000017,2.6115314959666667,0.16553036810371888,0.06338440426981995,0.6470680230000001,10.068118866666667,0.5744467852493919,0.05705601938722229,2.517863,3.8603992071333333,0.059430889661765324,0.015395011363578041,0.21571233599999973
fasta,java,True,32.89,2.9145710040983794,0.08861571918815382,20.900000000000002,3.682933333333333,0.026996721810355912,0.007330222778135883,0.10299999999999976,2.555743392366667,0.14194044902645792,0.05553783273015464,0.450758934,9.726598766666667,0.46159553023396815,0.04745703419121896,1.6063340000000004,3.8102761009,0.051627010814125365,0.013549414647912495,0.239704374
fasta,js,False,17.219533333333334,1.572964798548036,0.09134770194399591,6.84,3.684066666666667,0.00983285601802775,0.0026690222810013616,0.03699999999999992,10.419116838999999,0.586878596999783,0.05632709624706638,2.5201587720000003,37.61936806666667,2.554391472134538,0.0679009670658956,12.410474,3.6094670028333335,0.10688889442863644,0.029613484302455615,0.4758719300000003
fasta,js,True,33.13666666666666,1.0587837307522936,0.031952028893037734,4.9999999999999964,3.663133333333333,0.014004268643163243,0.003823030004321413,0.09600000000000009,2.472428751033333,0.1865044700418614,0.07543370864131606,0.5610482700000001,9.037988966666667,0.55277171586198115,0.06116091952542523,1.914332,3.6539063580666666,0.07828887822220215,0.021426076792954787,0.3128499069999999
