"","Algorithm","Language","GPT","run_time.s._mean","run_time.s._sd","run_time.s._cv","run_time.s._range"
"1","binarytrees","java","False",44.93389,1.3348,0.02971,9.37311
"2","binarytrees","java","True",75.75296,2.28561,0.03017,12.91121
"3","fasta","c","False",2.50874,0.17475,0.06966,0.52163
"4","fasta","c","True",2.49853,0.21692,0.08682,0.80631
"5","fasta","cpp","False",2.48932,0.14832,0.05958,0.48873
"6","fasta","cpp","True",12.14718,0.60959,0.05018,2.89658
"7","fasta","java","False",2.61153,0.16553,0.06338,0.64707
"8","fasta","java","True",2.55574,0.14194,0.05554,0.45076
"9","fasta","js","False",10.41912,0.58688,0.05633,2.52016
"10","fasta","js","True",2.47243,0.1865,0.07543,0.56105
"11","fasta","py","False",15.12313,0.16974,0.01122,0.66332
"12","fasta","py","True",9.04142,0.66135,0.07315,1.94516
"13","knucleotide","c","False",2.41977,0.16136,0.06668,0.50091
"14","knucleotide","c","True",2.37982,0.16701,0.07018,0.52691
"15","knucleotide","cpp","False",2.33508,0.15758,0.06748,0.44658
"16","knucleotide","cpp","True",2.37998,0.16146,0.06784,0.44396
"17","knucleotide","js","False",2.51717,0.34689,0.13781,1.48321
"18","knucleotide","js","True",2.49877,0.16798,0.06723,0.44568
"19","knucleotide","py","False",3.62211,0.65752,0.18153,2.0544
"20","knucleotide","py","True",2.43254,0.18425,0.07574,0.54294
"21","nbody","c","False",45.51222,0.51056,0.01122,2.05854
"22","nbody","c","True",2.50724,0.19684,0.07851,0.66564
"23","pidigits","c","False",2.43446,0.16739,0.06876,0.5381
"24","pidigits","c","True",2.38596,0.16213,0.06795,0.56791
"25","pidigits","cpp","False",2.37355,0.16994,0.0716,0.55511
"26","pidigits","cpp","True",2.39024,0.16541,0.0692,0.48159
"27","pidigits","js","False",2.40644,0.16814,0.06987,0.56372
"28","pidigits","js","True",2.4304,0.15297,0.06294,0.43128
"29","pidigits","py","False",2.43761,0.15209,0.06239,0.43526
"30","pidigits","py","True",2.42539,0.1836,0.0757,0.62105
"31","regexredux","cpp","False",2.39093,0.17667,0.07389,0.58981
"32","regexredux","cpp","True",2.3753,0.1751,0.07372,0.51485
"33","regexredux","java","False",2.53519,0.43955,0.17338,1.84322
"34","regexredux","java","True",2.38968,0.14201,0.05943,0.45314
"35","regexredux","js","False",2.43046,0.16237,0.06681,0.55349
"36","regexredux","js","True",2.44592,0.1637,0.06693,0.50348
"37","regexredux","py","False",3.44549,0.63663,0.18477,1.74945
"38","regexredux","py","True",2.49776,0.17425,0.06976,0.53986
"39","revcomp","cpp","False",2.37643,0.15264,0.06423,0.56189
"40","revcomp","cpp","True",2.33295,0.10853,0.04652,0.57335
"41","revcomp","java","False",2.36838,0.13042,0.05507,0.51292
"42","revcomp","java","True",2.36515,0.15424,0.06521,0.55271
"43","revcomp","js","False",2.37913,0.14121,0.05935,0.42355
"44","revcomp","js","True",2.3533,0.14294,0.06074,0.50924
"45","revcomp","py","False",2.38538,0.15207,0.06375,0.54326
"46","revcomp","py","True",2.41992,0.17726,0.07325,0.53156
"47","spectralnorm","c","False",25.35466,0.93647,0.03693,3.42825
"48","spectralnorm","c","True",2.3808,0.14833,0.0623,0.49494
"49","spectralnorm","java","False",2.36253,0.14159,0.05993,0.50541
"50","spectralnorm","java","True",2.35367,0.12246,0.05203,0.47688
